
Date,Day,Shift Start time,Shift end time,Total guest served,Average spend per guest,collected cash sales (cash owed to resturant) ,Total auto gratuity,Non-cash tips (total),Non cash tips reported,Bar tipout,Support tipout,total tipout,Bottled Beer quantiy,Bottled beer sales,Draft beer quant,Draft beer sales,food quant,food sales,liquor quant,liquor sales,wine quantity,wine sales,NA beverage quant,NA beverage sales,Non-gratuity serverice charges quant,non gratutity servercice charge sales,Total Net sales,Tax,Gross Sales,total (gross + tips),gross tips,,
2/5/2025,Wednesday,9:59,19:31,38,$29.49,$172.39,$0.00,$213.71,22.2%,26.38,$27.32,$53.70,5,$24.00,32,$323.50,50,$683.05,3,$21.50,1,$8.00,13,$45.50,8,$15.11,"$1,120.66",$94.29,"$1,214.95","$1,428.66",$213.71,,
2/7/2025,Friday,15:51,22:30,46,$25.81,$284.57,$0.00,$197.81,21.4%,22.65,$32.12,$54.77,9,$40.50,15,$156.00,53,$803.00,13,$103.00,3,$24.00,11,$39.50,8,$16.16,"$1,187.16",$99.76,"$1,286.92","$1,484.73",$197.81,,
2/8/2025,Saturday,15:50,21:53,47,$23.22,$354.82,$0.00,$161.77,21.2%,12.11,$33.92,$46.03,0,$0.00,15,$85.00,63,$848.00,9,$62.00,3,$26.00,15,$52.50,7,$17.89,"$1,091.39",$92.80,"$1,184.19","$1,345.96",$161.77,,
2/8/2025,Saturday,15:54,22:41,58,$23.32,$93.29,$0.00,$275.15,21.6%,19.5,$39.48,$58.98,1,$5.50,23,$200.31,67,$986.97,7,$53.92,1,$19.00,18,$63.50,11,$23.18,"$1,352.38",$114.12,"$1,466.50","$1,741.65",$275.15,,
2/9/2025,Sunday,9:59,16:52,51,$26.79,$88.44,$0.00,$253.62,19.7%,38.5,$30.78,$69.78,13,$113.50,38,$292.00,55,$769.50,18,$128.50,2,$16.00,10,$35.00,7,$11.65,"$1,366.15",$116.06,"$1,482.21","$1,735.83",$253.62,,
2/13/2025,Thursday,15:52,23:09,59,$22.07,$175.79,$0.00,$257.09,22.5%,16.51,$38.18,$54.69,3,$13.50,10,$109.50,64,$954.60,11,$97.00,2,$16.00,27,$92.50,9,$19.12,"$1,302.22",$110.73,"$1,412.95","$1,670.04",$257.09,,
2/14/2025,Friday,10:26,14:06,11,$23.80,$43.94,$0.00,$29.99,13.6%,3.4,$7.82,$11.22,0,$0.00,4,$32.50,14,$195.50,2,$16.00,0,$0.00,4,$14.00,2,$3.78,$261.78,$22.26,$284.04,$314.03,$29.99,,
2/15/2025,Saturday,15:51,22:03,50,$21.55,$171.96,$0.00,$150.65,16.4%,14.38,$32.32,$46.70,1,$5.50,9,$89.50,55,$808.00,10,$66.50,5,$44.00,16,$57.50,4,$6.42,"$1,077.42",$91.63,"$1,169.05","$1,319.70",$150.65,,
2/16/2025,Sunday,11:54,16:58,16,$71.52,$72.71,$187.42,$65.20,6.0%,40.91,$20.08,$60.99,18,$234.86,9,$100.50,36,$502.04,23,$207.07,4,$42.00,8,$27.00,12,$24.81,"$1,144.28",$97.29,"$1,241.57","$1,494.19",$252.62,,
2/19/2025,Wednesday,16:59,20:49,25,$25.98,$0.00,$41.24,$81.76,12.6%,11.19,$17.62,$28.81,3,$17.00,10,$87.50,29,$440.50,7,$55.50,0,$0.00,11,$39.00,5,$9.96,$649.46,$55.23,$704.69,$827.69,$123.00,,
2/20/2025,Thursday,15:51,23:00,63,$31.41,$57.48,$0.00,$319.65,16.6%,70.36,$37.02,$107.38,22,$200.50,55,$416.50,59,$925.45,46,$361.00,3,$27.00,10,$36.00,7,$12.58,"$1,979.03",$168.17,"$2,147.20","$2,466.85",$319.65,,
2/22/2025,Saturday,16:07,22:47,70,$21.60,$326.60,$0.00,$273.70,22.6%,18.51,$46.24,$64.75,0,$0.00,14,$139.50,81,"$1,156.00",11,$85.00,2,$40.00,19,$68.00,14,$23.37,"$1,511.87",$128.58,"$1,640.45","$1,914.15",$273.70,,
2/23/2025,Sunday,15:55,22:17,34,$20.08,$0.00,$0.00,$148.09,21.7%,6.48,$21.24,$27.72,2,$14.00,6,$44.00,36,$531.10,3,$26.50,1,$8.00,13,$44.98,9,$14.31,$682.89,$58.08,$740.97,$889.06,$148.09,,
2/25/2025,Tuesday,10:53,17:34,54,$24.95,$109.58,$60.00,$174.00,14.0%,26.96,$35.06,$62.02,7,$52.50,19,$196.00,52,$876.50,17,$136.50,0,$0.00,20,$71.00,4,$14.70,"$1,347.20",$114.58,"$1,461.78","$1,695.78",$234.00,,
2/27/2025,Thursday,15:53,22:58,72,$20.97,$128.02,$0.00,$257.64,18.6%,18.37,$45.76,$64.13,4,$18.00,15,$129.50,84,"$1,144.00",10,$83.00,4,$32.00,21,$73.50,12,$22.97,"$1,502.97",$127.79,"$1,630.76","$1,888.40",$257.64,,
2/28/2025,Friday,15:56,21:44,51,$22.09,$30.92,$0.00,$246.49,22.4%,22.86,$30.20,$53.06,1,$6.00,27,$195.00,49,$755.06,8,$66.50,7,$59.00,9,$32.00,8,$13.27,"$1,126.83",$95.79,"$1,222.62","$1,469.11",$246.49,,
3/1/2025,Saturday,15:54,22:32,48,$22.78,$31.46,$0.00,$209.39,19.7%,10.6,$34.46,$45.06,2,$12.00,10,$83.50,61,$861.50,7,$34.00,3,$22.00,19,$67.50,11,$13.06,"$1,093.56",$93.02,"$1,186.58","$1,395.97",$209.39,,
3/2/2025,Sunday,16:30,19:05,15,$22.57,$47.20,$0.00,$61.63,20.9%,5.88,$9.49,$15.37,10,$51.00,2,$19.00,18,$237.25,4,$14.00,0,$0.00,1,$3.50,13,$13.83,$338.58,$28.01,$366.59,$428.22,$61.63,,
3/5/2025,Wednesday,15:51,20:59,41,$28.55,$0.00,$0.00,$232.02,19.7%,15.99,$33.60,$49.59,5,$29.00,7,$77.50,56,$839.95,13,$106.00,2,$16.00,15,$52.50,21,$49.42,"$1,170.37",$96.49,"$1,266.86","$1,498.88",$232.02,,
3/6/2025,Thursday,11:50,17:05,53,$20.77,$41.15,$0.00,$211.49,19.9%,11.73,$33.73,$45.46,5,$24.00,14,$97.00,59,$843.25,4,$38.50,1,$8.00,17,$58.50,16,$31.47,"$1,100.72",$90.89,"$1,191.61","$1,403.10",$211.49,,
3/7/2025,Friday,17:06,19:58,27,$23.67,$0.00,$0.00,$141.55,22.1%,8.61,$18.46,$27.07,1,$6.00,9,$56.00,30,$461.50,6,$61.00,0,$0.00,10,$35.00,8,$19.61,$639.11,$52.67,$691.78,$833.33,$141.55,,
3/8/2025,Saturday,15:53,22:13,48,$20.53,$169.81,$0.00,$185.28,20.4%,22.75,$24.19,$46.94,5,$31.00,18,$132.00,44,$604.80,18,$155.00,1,$7.00,10,$29.75,11,$26.04,$985.59,$81.55,"$1,067.14","$1,252.42",$185.28,,
